effective_date,index,symbol_basket
2015-01-01,NIFTY50,"ACC,ADANIPORTS,AMBUJACEM,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTIARTL,BHEL,BOSCHLTD,BPCL,CAIRN,CIPLA,COALINDIA,DRREDDY,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,IDEA,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NTPC,ONGC,PNB,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL"
2015-03-27,NIFTY50,"ACC,ADANIPORTS,AMBUJACEM,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTIARTL,BHEL,BOSCHLTD,BPCL,CAIRN,CIPLA,COALINDIA,DRREDDY,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,IDEA,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NTPC,ONGC,PNB,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL"
2015-05-29,NIFTY50,"ACC,ADANIPORTS,AMBUJACEM,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTIARTL,BHEL,BOSCHLTD,BPCL,CAIRN,CIPLA,COALINDIA,DRREDDY,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,IDEA,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NTPC,ONGC,PNB,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL"
2015-09-28,NIFTY50,"ACC,ADANIPORTS,AMBUJACEM,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTIARTL,BHEL,BOSCHLTD,BPCL,CAIRN,CIPLA,COALINDIA,DRREDDY,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,IDEA,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NTPC,ONGC,PNB,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL"
2016-04-01,NIFTY50,"ACC,ADANIPORTS,AMBUJACEM,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTIARTL,BHEL,BOSCHLTD,BPCL,CIPLA,COALINDIA,DRREDDY,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,IDEA,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,ULTRACEMCO,WIPRO,YESBANK,ZEEL,AUROPHARMA,INFRATEL,EICHERMOT,TATAMTRDVR"
2017-03-31,NIFTY50,"ACC,ADANIPORTS,AMBUJACEM,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTIARTL,BOSCHLTD,BPCL,CIPLA,COALINDIA,DRREDDY,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,ULTRACEMCO,WIPRO,YESBANK,ZEEL,AUROPHARMA,INFRATEL,EICHERMOT,TATAMTRDVR,IBULHSGFIN,IOC"
2017-05-26,NIFTY50,"ACC,ADANIPORTS,AMBUJACEM,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTIARTL,BOSCHLTD,BPCL,CIPLA,COALINDIA,DRREDDY,GAIL,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,ULTRACEMCO,WIPRO,YESBANK,ZEEL,AUROPHARMA,INFRATEL,EICHERMOT,TATAMTRDVR,IBULHSGFIN,IOC,VEDL"
2017-09-29,NIFTY50,"ADANIPORTS,AMBUJACEM,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BHARTIARTL,BOSCHLTD,BPCL,CIPLA,COALINDIA,DRREDDY,GAIL,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,ULTRACEMCO,WIPRO,YESBANK,ZEEL,AUROPHARMA,INFRATEL,EICHERMOT,IBULHSGFIN,IOC,VEDL,BAJFINANCE,HINDPETRO,UPL"
2018-04-02,NIFTY50,"ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BHARTIARTL,BPCL,CIPLA,COALINDIA,DRREDDY,GAIL,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,ULTRACEMCO,WIPRO,YESBANK,ZEEL,INFRATEL,EICHERMOT,IBULHSGFIN,IOC,VEDL,BAJFINANCE,HINDPETRO,UPL,BAJAJFINSV,GRASIM,TITAN"
2018-09-28,NIFTY50,"ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BHARTIARTL,BPCL,CIPLA,COALINDIA,DRREDDY,GAIL,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,ULTRACEMCO,WIPRO,YESBANK,ZEEL,INFRATEL,EICHERMOT,IBULHSGFIN,IOC,VEDL,BAJFINANCE,HINDPETRO,UPL,BAJAJFINSV,GRASIM,TITAN,JSWSTEEL"
