index_code,security_id,valid_from,valid_to,membership_type,symbol_as_announced,inclusion_reason,exclusion_reason,inclusion_source,exclusion_source,verification,notes
NIFTY50,ACC,2015-09-28,2017-09-29,regular,ACC,start basket reconstructed from later press releases,semi-annual review; back to 50 securities,https://www.business-standard.com/article/companies/adani-ports-to-replace-nmdc-in-nifty-115081201423_1.html,https://www.niftyindices.com/Press_Release/ind_prs28082017.pdf,derived,
NIFTY50,ADANIPORTS,2015-09-28,,regular,ADANIPORTS,start basket reconstructed from later press releases,,https://www.business-standard.com/article/companies/adani-ports-to-replace-nmdc-in-nifty-115081201423_1.html,,derived,
NIFTY50,AMBUJACEM,2015-09-28,2018-04-02,regular,AMBUJACEM,start basket reconstructed from later press releases,semi-annual review,https://www.business-standard.com/article/companies/adani-ports-to-replace-nmdc-in-nifty-115081201423_1.html,https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,derived,
NIFTY50,ASIANPAINT,2015-09-28,,regular,ASIANPAINT,start basket reconstructed from later press releases,,https://www.business-standard.com/article/companies/adani-ports-to-replace-nmdc-in-nifty-115081201423_1.html,,derived,
NIFTY50,AXISBANK,2015-09-28,,regular,AXISBANK,start basket reconstructed from later press releases,,https://www.business-standard.com/article/companies/adani-ports-to-replace-nmdc-in-nifty-115081201423_1.html,,derived,
NIFTY50,BAJAJ-AUTO,2015-09-28,,regular,BAJAJ-AUTO,start basket reconstructed from later press releases,,https://www.business-standard.com/article/companies/adani-ports-to-replace-nmdc-in-nifty-115081201423_1.html,,derived,
NIFTY50,BANKBARODA,2015-09-28,2017-09-29,regular,BANKBARODA,start basket reconstructed from later press releases,semi-annual review; back to 50 securities,https://www.business-standard.com/article/companies/adani-ports-to-replace-nmdc-in-nifty-115081201423_1.html,https://www.niftyindices.com/Press_Release/ind_prs28082017.pdf,derived,
NIFTY50,BHARTIARTL,2015-09-28,,regular,BHARTIARTL,start basket reconstructed from later press releases,,https://www.business-standard.com/article/companies/adani-ports-to-replace-nmdc-in-nifty-115081201423_1.html,,derived,
NIFTY50,BHEL,2015-09-28,2017-03-31,regular,BHEL,start basket reconstructed from later press releases,semi-annual review,https://www.business-standard.com/article/companies/adani-ports-to-replace-nmdc-in-nifty-115081201423_1.html,https://www.niftyindices.com/Press_Release/ind_prs16022017.pdf,derived,
NIFTY50,BOSCHLTD,2015-09-28,2018-04-02,regular,BOSCHLTD,start basket reconstructed from later press releases,semi-annual review,https://www.business-standard.com/article/companies/adani-ports-to-replace-nmdc-in-nifty-115081201423_1.html,https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,derived,
