security_id,provider,instrument_key,valid_from,valid_to,availability,verified_on,notes
ACC,upstox,NSE_EQ|INE012A01025,2022-01-01,,verified,2026-09-21,minute candles present locally
ACC,breeze,ACC,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
ADANIENT,upstox,NSE_EQ|INE423A01024,2022-01-01,,verified,2026-09-21,minute candles present locally
ADANIENT,breeze,ADAENT,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
ADANIPORTS,upstox,NSE_EQ|INE742F01042,2022-01-01,,verified,2026-09-21,minute candles present locally
ADANIPORTS,breeze,ADAPOR,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
AMBUJACEM,upstox,NSE_EQ|INE079A01024,2022-01-01,,verified,2026-09-21,minute candles present locally
AMBUJACEM,breeze,AMBCE,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
APOLLOHOSP,upstox,NSE_EQ|INE437A01024,2022-01-01,,verified,2026-09-21,minute candles present locally
APOLLOHOSP,breeze,APOHOS,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
ASIANPAINT,upstox,NSE_EQ|INE021A01026,2022-01-01,,verified,2026-09-21,minute candles present locally
ASIANPAINT,breeze,ASIPAI,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
AUROPHARMA,upstox,NSE_EQ|INE406A01037,2022-01-01,,verified,2026-09-21,minute candles present locally
AUROPHARMA,breeze,AURPHA,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
AXISBANK,upstox,NSE_EQ|INE238A01034,2022-01-01,,verified,2026-09-21,minute candles present locally
AXISBANK,breeze,AXIBAN,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
BAJAJ-AUTO,upstox,NSE_EQ|INE917I01010,2022-01-01,,verified,2026-09-21,minute candles present locally
BAJAJ-AUTO,breeze,BAAUTO,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
BAJAJFINSV,upstox,NSE_EQ|INE918I01026,2022-01-01,,verified,2026-09-21,minute candles present locally
BAJAJFINSV,breeze,BAFINS,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
BAJFINANCE,upstox,NSE_EQ|INE296A01032,2022-01-01,,verified,2026-09-21,minute candles present locally
BAJFINANCE,breeze,BAJFI,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
BANKBARODA,upstox,NSE_EQ|INE028A01039,2022-01-01,,verified,2026-09-21,minute candles present locally
BANKBARODA,breeze,BANBAR,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
BEL,upstox,NSE_EQ|INE263A01024,2022-01-01,,verified,2026-09-21,minute candles present locally
BEL,breeze,BHAELE,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
BHARTIARTL,upstox,NSE_EQ|INE397D01024,2022-01-01,,verified,2026-09-21,minute candles present locally
BHARTIARTL,breeze,BHAAIR,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
BHEL,upstox,NSE_EQ|INE257A01026,2022-01-01,,verified,2026-09-21,minute candles present locally
BHEL,breeze,BHEL,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
BOSCHLTD,upstox,NSE_EQ|INE323A01026,2022-01-01,,verified,2026-09-21,minute candles present locally
BOSCHLTD,breeze,BOSLIM,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
BPCL,upstox,NSE_EQ|INE029A01011,2022-01-01,,verified,2026-09-21,minute candles present locally
BPCL,breeze,BHAPET,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
BRITANNIA,upstox,NSE_EQ|INE216A01030,2022-01-01,,verified,2026-09-21,minute candles present locally
BRITANNIA,breeze,BRIIND,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
BSE,upstox,NSE_EQ|INE118H01025,2022-01-01,,verified,2026-09-21,minute candles present locally
BSE,breeze,BSEI,2017-02-03,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
CAIRN,upstox,NSE_EQ|INE910H01017,2022-01-01,,unavailable,2026-09-21,"delisted 2017, before the Upstox minute-history floor (2022-01-01)"
CAIRN,breeze,CAIIND,2016-01-01,2017-04-26,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
CIPLA,upstox,NSE_EQ|INE059A01026,2022-01-01,,verified,2026-09-21,minute candles present locally
CIPLA,breeze,CIPLA,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
COALINDIA,upstox,NSE_EQ|INE522F01014,2022-01-01,,verified,2026-09-21,minute candles present locally
COALINDIA,breeze,COALIN,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
DIVISLAB,upstox,NSE_EQ|INE361B01024,2022-01-01,,verified,2026-09-21,minute candles present locally
DIVISLAB,breeze,DIVLAB,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
DRREDDY,upstox,NSE_EQ|INE089A01031,2022-01-01,,verified,2026-09-21,minute candles present locally
DRREDDY,breeze,DRREDD,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
EICHERMOT,upstox,NSE_EQ|INE066A01021,2022-01-01,,verified,2026-09-21,minute candles present locally
EICHERMOT,breeze,EICMOT,2016-01-01,,unverified,,verify on first Breeze fetch (session expired 2026-09-21)
