security_id,storage_symbol,security_type,company_name,status,first_trade_date,last_trade_date,successor_security_id,notes
ACC,ACC,equity,ACC Limited,active,1996-11-20,,,
ADANIENT,ADANIENT,equity,Adani Enterprises Limited,active,1997-06-04,,,
ADANIPORTS,ADANIPORTS,equity,Adani Ports and Special Economic Zone Limited,active,2007-11-27,,,
AMBUJACEM,AMBUJACEM,equity,Ambuja Cements Limited,active,1998-02-18,,,
APOLLOHOSP,APOLLOHOSP,equity,Apollo Hospitals Enterprise Limited,active,1996-01-10,,,
ASIANPAINT,ASIANPAINT,equity,Asian Paints Limited,active,1995-05-31,,,
AUROPHARMA,AUROPHARMA,equity,Aurobindo Pharma Limited,active,2000-07-19,,,
AXISBANK,AXISBANK,equity,Axis Bank Limited,active,1998-11-16,,,
BAJAJ-AUTO,BAJAJ-AUTO,equity,Bajaj Auto Limited,active,2008-05-26,,,
BAJAJFINSV,BAJAJFINSV,equity,Bajaj Finserv Limited,active,2008-05-26,,,
BAJFINANCE,BAJFINANCE,equity,Bajaj Finance Limited,active,2003-04-01,,,
BANKBARODA,BANKBARODA,equity,Bank of Baroda,active,1997-02-19,,,
BEL,BEL,equity,Bharat Electronics Limited,active,2000-07-19,,,
BHARTIARTL,BHARTIARTL,equity,Bharti Airtel Limited,active,2002-02-15,,,
BHEL,BHEL,equity,Bharat Heavy Electricals Limited,active,2003-11-11,,,
BOSCHLTD,BOSCHLTD,equity,Bosch Limited,active,2003-05-12,,,
BPCL,BPCL,equity,Bharat Petroleum Corporation Limited,active,1995-09-13,,,
BRITANNIA,BRITANNIA,equity,Britannia Industries Limited,active,1998-11-05,,,
BSE,BSE,equity,BSE Limited,active,2017-02-03,,,
CAIRN,CAIRN,equity,Cairn India Limited,merged,2007-01-09,2017-04-25,VEDL,merged into Vedanta (VEDL); last traded 2017-04-25
CIPLA,CIPLA,equity,Cipla Limited,active,1995-02-08,,,
COALINDIA,COALINDIA,equity,Coal India Limited,active,2010-11-04,,,
DIVISLAB,DIVISLAB,equity,Divi's Laboratories Limited,active,2003-03-12,,,
DRREDDY,DRREDDY,equity,Dr. Reddy's Laboratories Limited,active,2003-05-30,,,
EICHERMOT,EICHERMOT,equity,Eicher Motors Limited,active,2004-09-07,,,
ETERNAL,ETERNAL,equity,Eternal Limited,active,2021-07-23,,,Zomato renamed; same ISIN
GAIL,GAIL,equity,GAIL (India) Limited,active,1997-04-02,,,
GRASIM,GRASIM,equity,Grasim Industries Limited,active,1995-05-10,,,
HCLTECH,HCLTECH,equity,HCL Technologies Limited,active,2000-01-06,,,
HDFC,HDFC,equity,Housing Development Finance Corporation Limited,merged,1996-10-23,2023-07-12,HDFCBANK,"Housing Development Finance Corporation; merged into HDFCBANK effective 2023-07-01, suspended 2023-07-13"
HDFCBANK,HDFCBANK,equity,HDFC Bank Limited,active,1995-11-08,,,
