security_id,identifier_type,identifier_value,valid_from,valid_to,source,notes
ACC,nse_symbol,ACC,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
ACC,isin,INE012A01025,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
ADANIENT,nse_symbol,ADANIENT,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
ADANIENT,isin,INE423A01024,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
ADANIPORTS,nse_symbol,ADANIPORTS,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
ADANIPORTS,isin,INE742F01042,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
AMBUJACEM,nse_symbol,AMBUJACEM,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
AMBUJACEM,isin,INE079A01024,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
APOLLOHOSP,nse_symbol,APOLLOHOSP,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
APOLLOHOSP,isin,INE437A01024,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
ASIANPAINT,nse_symbol,ASIANPAINT,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
ASIANPAINT,isin,INE021A01026,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
AUROPHARMA,nse_symbol,AUROPHARMA,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
AUROPHARMA,isin,INE406A01037,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
AXISBANK,nse_symbol,AXISBANK,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
AXISBANK,isin,INE238A01034,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
BAJAJ-AUTO,nse_symbol,BAJAJ-AUTO,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
BAJAJ-AUTO,isin,INE917I01010,1900-01-01,,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,
